PatientID	Caller	Chromosome	SV	Count
TARGET-20-PAURDN-03A-01D	pbsv.INS	chr6	INS	348
TARGET-20-PAURDN-03A-01D	longreadsv.INS	chr6	INS	680
TARGET-20-PAURDN-03A-01D	pbsv.DEL	chr6	DEL	405
TARGET-20-PAURDN-03A-01D	sniffles.DEL	chr6	DEL	545
TARGET-20-PAURDN-03A-01D	longreadsv.DEL	chr6	DEL	466
TARGET-20-PAURDN-03A-01D	pbsv.DUP	chr6	DUP	1
TARGET-20-PAURDN-03A-01D	sniffles.DUP	chr6	DUP	1
TARGET-20-PAURDN-03A-01D	pbsv.INV	chr6	INV	2
TARGET-20-PAURDN-03A-01D	sniffles.INV	chr6	INV	2
TARGET-20-PAURDN-03A-01D	pbsv.INS	chr7	INS	362
TARGET-20-PAURDN-03A-01D	longreadsv.INS	chr7	INS	642
TARGET-20-PAURDN-03A-01D	sniffles.INS	chr7	INS	682
TARGET-20-PAURDN-03A-01D	pbsv.DEL	chr7	DEL	465
TARGET-20-PAURDN-03A-01D	longreadsv.DEL	chr7	DEL	574
TARGET-20-PAURDN-03A-01D	sniffles.DEL	chr7	DEL	632
TARGET-20-PAURDN-03A-01D	pbsv.DUP	chr7	DUP	1
TARGET-20-PAURDN-03A-01D	sniffles.DUP	chr7	DUP	1
TARGET-20-PAURDN-03A-01D	sniffles.INV	chr7	INV	3
TARGET-20-PAURDN-03A-01D	pbsv.INV	chr7	INV	1
TARGET-20-PAURDN-03A-01D	sniffles.INS	chr8	INS	468
TARGET-20-PAURDN-03A-01D	longreadsv.INS	chr8	INS	431
TARGET-20-PAURDN-03A-01D	pbsv.INS	chr8	INS	240
TARGET-20-PAURDN-03A-01D	pbsv.DEL	chr8	DEL	325
TARGET-20-PAURDN-03A-01D	sniffles.DEL	chr8	DEL	419
TARGET-20-PAURDN-03A-01D	longreadsv.DEL	chr8	DEL	385
TARGET-20-PAURDN-03A-01D	pbsv.DUP	chr8	DUP	1
TARGET-20-PAURDN-03A-01D	sniffles.DUP	chr8	DUP	1
TARGET-20-PAURDN-03A-01D	pbsv.INV	chr8	INV	3
TARGET-20-PAURDN-03A-01D	sniffles.INV	chr8	INV	3
TARGET-20-PAURDN-03A-01D	sniffles.INS	chr9	INS	516
TARGET-20-PAURDN-03A-01D	pbsv.INS	chr9	INS	284
TARGET-20-PAURDN-03A-01D	longreadsv.INS	chr9	INS	483
TARGET-20-PAURDN-03A-01D	pbsv.DEL	chr9	DEL	300
TARGET-20-PAURDN-03A-01D	longreadsv.DEL	chr9	DEL	351
TARGET-20-PAURDN-03A-01D	sniffles.DEL	chr9	DEL	377
TARGET-20-PAURDN-03A-01D	pbsv.DUP	chr9	DUP	3
TARGET-20-PAURDN-03A-01D	pbsv.INV	chr9	INV	1
TARGET-20-PAURDN-03A-01D	sniffles.INV	chr9	INV	1
TARGET-20-PAURDN-03A-01D	longreadsv.INS	chr10	INS	596
TARGET-20-PAURDN-03A-01D	pbsv.INS	chr10	INS	301
TARGET-20-PAURDN-03A-01D	sniffles.INS	chr10	INS	588
TARGET-20-PAURDN-03A-01D	pbsv.DEL	chr10	DEL	368
TARGET-20-PAURDN-03A-01D	sniffles.DEL	chr10	DEL	512
TARGET-20-PAURDN-03A-01D	longreadsv.DEL	chr10	DEL	444
TARGET-20-PAURDN-03A-01D	pbsv.DUP	chr10	DUP	3
TARGET-20-PAURDN-03A-01D	sniffles.INV	chr10	INV	4
TARGET-20-PAURDN-03A-01D	pbsv.INV	chr10	INV	2
TARGET-20-PAURDN-03A-01D	sniffles.INS	chr11	INS	538
TARGET-20-PAURDN-03A-01D	longreadsv.INS	chr11	INS	458
TARGET-20-PAURDN-03A-01D	pbsv.INS	chr11	INS	297
TARGET-20-PAURDN-03A-01D	pbsv.DEL	chr11	DEL	300
TARGET-20-PAURDN-03A-01D	sniffles.DEL	chr11	DEL	390
TARGET-20-PAURDN-03A-01D	longreadsv.DEL	chr11	DEL	335
TARGET-20-PAURDN-03A-01D	sniffles.BND	chr11	BND	1
TARGET-20-PAURDN-03A-01D	pbsv.INV	chr11	INV	3
TARGET-20-PAURDN-03A-01D	sniffles.INV	chr11	INV	1
TARGET-20-PAURDN-03A-01D	longreadsv.INS	chr12	INS	519
TARGET-20-PAURDN-03A-01D	sniffles.INS	chr12	INS	523
TARGET-20-PAURDN-03A-01D	pbsv.INS	chr12	INS	277
TARGET-20-PAURDN-03A-01D	sniffles.DEL	chr12	DEL	442
TARGET-20-PAURDN-03A-01D	longreadsv.DEL	chr12	DEL	427
TARGET-20-PAURDN-03A-01D	pbsv.DEL	chr12	DEL	322
TARGET-20-PAURDN-03A-01D	pbsv.DUP	chr12	DUP	1
TARGET-20-PAURDN-03A-01D	sniffles.DUP	chr12	DUP	1
TARGET-20-PAURDN-03A-01D	pbsv.INV	chr12	INV	4
TARGET-20-PAURDN-03A-01D	sniffles.INV	chr12	INV	1
TARGET-20-PAURDN-03A-01D	longreadsv.INS	chr13	INS	429
TARGET-20-PAURDN-03A-01D	pbsv.INS	chr13	INS	241
TARGET-20-PAURDN-03A-01D	sniffles.INS	chr13	INS	431
TARGET-20-PAURDN-03A-01D	pbsv.DEL	chr13	DEL	256
TARGET-20-PAURDN-03A-01D	sniffles.DEL	chr13	DEL	327
TARGET-20-PAURDN-03A-01D	longreadsv.DEL	chr13	DEL	301
TARGET-20-PAURDN-03A-01D	pbsv.DUP	chr13	DUP	3
TARGET-20-PAURDN-03A-01D	sniffles.DUP	chr13	DUP	2
TARGET-20-PAURDN-03A-01D	pbsv.INS	chr14	INS	153
TARGET-20-PAURDN-03A-01D	sniffles.INS	chr14	INS	279
TARGET-20-PAURDN-03A-01D	longreadsv.INS	chr14	INS	264
TARGET-20-PAURDN-03A-01D	pbsv.DEL	chr14	DEL	195
TARGET-20-PAURDN-03A-01D	longreadsv.DEL	chr14	DEL	203
TARGET-20-PAURDN-03A-01D	sniffles.DEL	chr14	DEL	234
TARGET-20-PAURDN-03A-01D	pbsv.INV	chr14	INV	1
TARGET-20-PAURDN-03A-01D	sniffles.INV	chr14	INV	1
TARGET-20-PAURDN-03A-01D	pbsv.INS	chr15	INS	212
TARGET-20-PAURDN-03A-01D	sniffles.INS	chr15	INS	292
TARGET-20-PAURDN-03A-01D	longreadsv.INS	chr15	INS	262
TARGET-20-PAURDN-03A-01D	pbsv.DEL	chr15	DEL	185
TARGET-20-PAURDN-03A-01D	sniffles.DEL	chr15	DEL	228
TARGET-20-PAURDN-03A-01D	longreadsv.DEL	chr15	DEL	162
TARGET-20-PAURDN-03A-01D	pbsv.INS	chr16	INS	224
TARGET-20-PAURDN-03A-01D	longreadsv.INS	chr16	INS	374
TARGET-20-PAURDN-03A-01D	sniffles.INS	chr16	INS	421
TARGET-20-PAURDN-03A-01D	pbsv.DEL	chr16	DEL	272
TARGET-20-PAURDN-03A-01D	sniffles.DEL	chr16	DEL	338
TARGET-20-PAURDN-03A-01D	longreadsv.DEL	chr16	DEL	292
TARGET-20-PAURDN-03A-01D	pbsv.DUP	chr16	DUP	5
TARGET-20-PAURDN-03A-01D	sniffles.DUP	chr16	DUP	1
TARGET-20-PAURDN-03A-01D	pbsv.INV	chr16	INV	1
TARGET-20-PAURDN-03A-01D	sniffles.INV	chr16	INV	1
TARGET-20-PAURDN-03A-01D	longreadsv.INS	chr17	INS	362
TARGET-20-PAURDN-03A-01D	pbsv.INS	chr17	INS	176
TARGET-20-PAURDN-03A-01D	sniffles.INS	chr17	INS	342
TARGET-20-PAURDN-03A-01D	pbsv.DEL	chr17	DEL	279
TARGET-20-PAURDN-03A-01D	longreadsv.DEL	chr17	DEL	310
TARGET-20-PAURDN-03A-01D	sniffles.DEL	chr17	DEL	334
TARGET-20-PAURDN-03A-01D	pbsv.DUP	chr17	DUP	1
TARGET-20-PAURDN-03A-01D	sniffles.DUP	chr17	DUP	1
TARGET-20-PAURDN-03A-01D	sniffles.BND	chr17	BND	1
TARGET-20-PAURDN-03A-01D	pbsv.INS	chr18	INS	163
TARGET-20-PAURDN-03A-01D	sniffles.INS	chr18	INS	321
TARGET-20-PAURDN-03A-01D	longreadsv.INS	chr18	INS	290
TARGET-20-PAURDN-03A-01D	pbsv.DEL	chr18	DEL	215
TARGET-20-PAURDN-03A-01D	longreadsv.DEL	chr18	DEL	263
TARGET-20-PAURDN-03A-01D	sniffles.DEL	chr18	DEL	258
TARGET-20-PAURDN-03A-01D	pbsv.INV	chr18	INV	1
TARGET-20-PAURDN-03A-01D	sniffles.INV	chr18	INV	1
TARGET-20-PAURDN-03A-01D	sniffles.INS	chr19	INS	380
TARGET-20-PAURDN-03A-01D	pbsv.INS	chr19	INS	174
TARGET-20-PAURDN-03A-01D	longreadsv.INS	chr19	INS	345
TARGET-20-PAURDN-03A-01D	pbsv.DEL	chr19	DEL	261
TARGET-20-PAURDN-03A-01D	longreadsv.DEL	chr19	DEL	306
TARGET-20-PAURDN-03A-01D	sniffles.DEL	chr19	DEL	337
TARGET-20-PAURDN-03A-01D	longreadsv.INS	chr20	INS	318
TARGET-20-PAURDN-03A-01D	pbsv.INS	chr20	INS	220
TARGET-20-PAURDN-03A-01D	sniffles.INS	chr20	INS	377
TARGET-20-PAURDN-03A-01D	longreadsv.DEL	chr20	DEL	263
TARGET-20-PAURDN-03A-01D	pbsv.DEL	chr20	DEL	247
TARGET-20-PAURDN-03A-01D	sniffles.DEL	chr20	DEL	273
TARGET-20-PAURDN-03A-01D	pbsv.BND	chr20	BND	1
TARGET-20-PAURDN-03A-01D	pbsv.INS	chr21	INS	170
TARGET-20-PAURDN-03A-01D	sniffles.INS	chr21	INS	265
TARGET-20-PAURDN-03A-01D	longreadsv.INS	chr21	INS	258
TARGET-20-PAURDN-03A-01D	pbsv.DEL	chr21	DEL	191
TARGET-20-PAURDN-03A-01D	longreadsv.DEL	chr21	DEL	202
TARGET-20-PAURDN-03A-01D	sniffles.DEL	chr21	DEL	210
TARGET-20-PAURDN-03A-01D	pbsv.BND	chr21	BND	1
TARGET-20-PAURDN-03A-01D	sniffles.INS	chr22	INS	261
TARGET-20-PAURDN-03A-01D	pbsv.INS	chr22	INS	161
TARGET-20-PAURDN-03A-01D	longreadsv.INS	chr22	INS	261
TARGET-20-PAURDN-03A-01D	sniffles.DEL	chr22	DEL	228
TARGET-20-PAURDN-03A-01D	longreadsv.DEL	chr22	DEL	201
TARGET-20-PAURDN-03A-01D	pbsv.DEL	chr22	DEL	190
TARGET-20-PAURDN-03A-01D	sniffles.BND	chr22	BND	1
TARGET-20-PAURDN-03A-01D	sniffles.INS	chrX	INS	363
TARGET-20-PAURDN-03A-01D	pbsv.INS	chrX	INS	178
TARGET-20-PAURDN-03A-01D	longreadsv.INS	chrX	INS	484
TARGET-20-PAURDN-03A-01D	pbsv.DEL	chrX	DEL	200
TARGET-20-PAURDN-03A-01D	sniffles.DEL	chrX	DEL	277
TARGET-20-PAURDN-03A-01D	longreadsv.DEL	chrX	DEL	287
TARGET-20-PAURDN-03A-01D	pbsv.DUP	chrX	DUP	1
TARGET-20-PAURDN-03A-01D	longreadsv.INS	chrY	INS	59
TARGET-20-PAURDN-03A-01D	pbsv.INS	chrY	INS	67
TARGET-20-PAURDN-03A-01D	sniffles.INS	chrY	INS	70
TARGET-20-PAURDN-03A-01D	pbsv.DEL	chrY	DEL	143
TARGET-20-PAURDN-03A-01D	longreadsv.DEL	chrY	DEL	94
TARGET-20-PAURDN-03A-01D	sniffles.DEL	chrY	DEL	134
TARGET-20-PAURDN-03A-01D	pbsv.BND	chrY	BND	1
TARGET-20-PAURDN-03A-01D	sniffles.BND	chrY	BND	1
TARGET-20-PAVDAJ-09A-02D	pbsv.INS	chr1	INS	461
TARGET-20-PAVDAJ-09A-02D	sniffles.INS	chr1	INS	850
TARGET-20-PAVDAJ-09A-02D	longreadsv.INS	chr1	INS	796
TARGET-20-PAVDAJ-09A-02D	pbsv.DEL	chr1	DEL	519
TARGET-20-PAVDAJ-09A-02D	longreadsv.DEL	chr1	DEL	579
TARGET-20-PAVDAJ-09A-02D	sniffles.DEL	chr1	DEL	633
TARGET-20-PAVDAJ-09A-02D	pbsv.DUP	chr1	DUP	4
TARGET-20-PAVDAJ-09A-02D	pbsv.INV	chr1	INV	5
TARGET-20-PAVDAJ-09A-02D	sniffles.INV	chr1	INV	5
TARGET-20-PAVDAJ-09A-02D	sniffles.INS	chr2	INS	738
TARGET-20-PAVDAJ-09A-02D	pbsv.INS	chr2	INS	397
TARGET-20-PAVDAJ-09A-02D	longreadsv.INS	chr2	INS	746
TARGET-20-PAVDAJ-09A-02D	sniffles.DEL	chr2	DEL	774
TARGET-20-PAVDAJ-09A-02D	pbsv.DEL	chr2	DEL	577
TARGET-20-PAVDAJ-09A-02D	longreadsv.DEL	chr2	DEL	666
TARGET-20-PAVDAJ-09A-02D	pbsv.INS	chr3	INS	271
TARGET-20-PAVDAJ-09A-02D	sniffles.INS	chr3	INS	506
TARGET-20-PAVDAJ-09A-02D	longreadsv.INS	chr3	INS	523
TARGET-20-PAVDAJ-09A-02D	sniffles.DEL	chr3	DEL	463
TARGET-20-PAVDAJ-09A-02D	pbsv.DEL	chr3	DEL	335
TARGET-20-PAVDAJ-09A-02D	longreadsv.DEL	chr3	DEL	441
TARGET-20-PAVDAJ-09A-02D	pbsv.BND	chr3	BND	1
TARGET-20-PAVDAJ-09A-02D	sniffles.BND	chr3	BND	1
TARGET-20-PAVDAJ-09A-02D	pbsv.INV	chr3	INV	1
TARGET-20-PAVDAJ-09A-02D	sniffles.INV	chr3	INV	1
TARGET-20-PAVDAJ-09A-02D	sniffles.INS	chr4	INS	559
TARGET-20-PAVDAJ-09A-02D	pbsv.INS	chr4	INS	294
TARGET-20-PAVDAJ-09A-02D	longreadsv.INS	chr4	INS	618
TARGET-20-PAVDAJ-09A-02D	longreadsv.DEL	chr4	DEL	571
TARGET-20-PAVDAJ-09A-02D	pbsv.DEL	chr4	DEL	440
TARGET-20-PAVDAJ-09A-02D	sniffles.DEL	chr4	DEL	586
TARGET-20-PAVDAJ-09A-02D	pbsv.DUP	chr4	DUP	2
TARGET-20-PAVDAJ-09A-02D	sniffles.DUP	chr4	DUP	1
TARGET-20-PAVDAJ-09A-02D	sniffles.INV	chr4	INV	1
TARGET-20-PAVDAJ-09A-02D	sniffles.INS	chr5	INS	493
TARGET-20-PAVDAJ-09A-02D	pbsv.INS	chr5	INS	254
TARGET-20-PAVDAJ-09A-02D	longreadsv.INS	chr5	INS	549
TARGET-20-PAVDAJ-09A-02D	pbsv.DEL	chr5	DEL	434
TARGET-20-PAVDAJ-09A-02D	sniffles.DEL	chr5	DEL	521
TARGET-20-PAVDAJ-09A-02D	longreadsv.DEL	chr5	DEL	517
TARGET-20-PAVDAJ-09A-02D	pbsv.DUP	chr5	DUP	2
TARGET-20-PAVDAJ-09A-02D	pbsv.BND	chr5	BND	2
TARGET-20-PAVDAJ-09A-02D	sniffles.BND	chr5	BND	1
TARGET-20-PAVDAJ-09A-02D	sniffles.INS	chr6	INS	593
TARGET-20-PAVDAJ-09A-02D	pbsv.INS	chr6	INS	312
TARGET-20-PAVDAJ-09A-02D	longreadsv.INS	chr6	INS	620
TARGET-20-PAVDAJ-09A-02D	pbsv.DEL	chr6	DEL	330
TARGET-20-PAVDAJ-09A-02D	longreadsv.DEL	chr6	DEL	456
TARGET-20-PAVDAJ-09A-02D	sniffles.DEL	chr6	DEL	454
TARGET-20-PAVDAJ-09A-02D	pbsv.DUP	chr6	DUP	1
TARGET-20-PAVDAJ-09A-02D	sniffles.DUP	chr6	DUP	1
TARGET-20-PAVDAJ-09A-02D	pbsv.INV	chr6	INV	3
TARGET-20-PAVDAJ-09A-02D	sniffles.INV	chr6	INV	2
TARGET-20-PAVDAJ-09A-02D	sniffles.INS	chr7	INS	592
TARGET-20-PAVDAJ-09A-02D	longreadsv.INS	chr7	INS	658
TARGET-20-PAVDAJ-09A-02D	pbsv.INS	chr7	INS	303
TARGET-20-PAVDAJ-09A-02D	pbsv.DEL	chr7	DEL	407
TARGET-20-PAVDAJ-09A-02D	longreadsv.DEL	chr7	DEL	564
TARGET-20-PAVDAJ-09A-02D	sniffles.DEL	chr7	DEL	567
TARGET-20-PAVDAJ-09A-02D	pbsv.DUP	chr7	DUP	1
TARGET-20-PAVDAJ-09A-02D	sniffles.DUP	chr7	DUP	1
TARGET-20-PAVDAJ-09A-02D	pbsv.BND	chr7	BND	2
TARGET-20-PAVDAJ-09A-02D	pbsv.INV	chr7	INV	4
TARGET-20-PAVDAJ-09A-02D	sniffles.INV	chr7	INV	3
TARGET-20-PAVDAJ-09A-02D	pbsv.INS	chr8	INS	222
TARGET-20-PAVDAJ-09A-02D	sniffles.INS	chr8	INS	431
TARGET-20-PAVDAJ-09A-02D	longreadsv.INS	chr8	INS	463
TARGET-20-PAVDAJ-09A-02D	pbsv.DEL	chr8	DEL	285
TARGET-20-PAVDAJ-09A-02D	sniffles.DEL	chr8	DEL	387
TARGET-20-PAVDAJ-09A-02D	longreadsv.DEL	chr8	DEL	368
TARGET-20-PAVDAJ-09A-02D	pbsv.DUP	chr8	DUP	1
TARGET-20-PAVDAJ-09A-02D	sniffles.DUP	chr8	DUP	1
TARGET-20-PAVDAJ-09A-02D	pbsv.INV	chr8	INV	2
TARGET-20-PAVDAJ-09A-02D	sniffles.INV	chr8	INV	2
TARGET-20-PAVDAJ-09A-02D	sniffles.INS	chr9	INS	450
TARGET-20-PAVDAJ-09A-02D	pbsv.INS	chr9	INS	278
TARGET-20-PAVDAJ-09A-02D	longreadsv.INS	chr9	INS	464
TARGET-20-PAVDAJ-09A-02D	pbsv.DEL	chr9	DEL	266
TARGET-20-PAVDAJ-09A-02D	longreadsv.DEL	chr9	DEL	333
TARGET-20-PAVDAJ-09A-02D	sniffles.DEL	chr9	DEL	320
TARGET-20-PAVDAJ-09A-02D	pbsv.INV	chr9	INV	2
TARGET-20-PAVDAJ-09A-02D	sniffles.INV	chr9	INV	2
TARGET-20-PAVDAJ-09A-02D	pbsv.INS	chr10	INS	271
TARGET-20-PAVDAJ-09A-02D	sniffles.INS	chr10	INS	554
TARGET-20-PAVDAJ-09A-02D	longreadsv.INS	chr10	INS	590
TARGET-20-PAVDAJ-09A-02D	pbsv.DEL	chr10	DEL	355
TARGET-20-PAVDAJ-09A-02D	sniffles.DEL	chr10	DEL	463
TARGET-20-PAVDAJ-09A-02D	longreadsv.DEL	chr10	DEL	446
TARGET-20-PAVDAJ-09A-02D	pbsv.DUP	chr10	DUP	2
TARGET-20-PAVDAJ-09A-02D	sniffles.BND	chr10	BND	1
TARGET-20-PAVDAJ-09A-02D	pbsv.INV	chr10	INV	3
TARGET-20-PAVDAJ-09A-02D	sniffles.INV	chr10	INV	2
TARGET-20-PAVDAJ-09A-02D	longreadsv.INS	chr11	INS	486
TARGET-20-PAVDAJ-09A-02D	pbsv.INS	chr11	INS	275
TARGET-20-PAVDAJ-09A-02D	sniffles.INS	chr11	INS	497
TARGET-20-PAVDAJ-09A-02D	pbsv.DEL	chr11	DEL	271
TARGET-20-PAVDAJ-09A-02D	sniffles.DEL	chr11	DEL	367
TARGET-20-PAVDAJ-09A-02D	longreadsv.DEL	chr11	DEL	338
TARGET-20-PAVDAJ-09A-02D	pbsv.DUP	chr11	DUP	1
TARGET-20-PAVDAJ-09A-02D	sniffles.DUP	chr11	DUP	1
TARGET-20-PAVDAJ-09A-02D	pbsv.INV	chr11	INV	2
TARGET-20-PAVDAJ-09A-02D	sniffles.INV	chr11	INV	2
TARGET-20-PAVDAJ-09A-02D	pbsv.INS	chr12	INS	256
TARGET-20-PAVDAJ-09A-02D	sniffles.INS	chr12	INS	499
TARGET-20-PAVDAJ-09A-02D	longreadsv.INS	chr12	INS	524
TARGET-20-PAVDAJ-09A-02D	pbsv.DEL	chr12	DEL	309
TARGET-20-PAVDAJ-09A-02D	sniffles.DEL	chr12	DEL	425
TARGET-20-PAVDAJ-09A-02D	longreadsv.DEL	chr12	DEL	417
TARGET-20-PAVDAJ-09A-02D	sniffles.DUP	chr12	DUP	1
TARGET-20-PAVDAJ-09A-02D	pbsv.DUP	chr12	DUP	2
TARGET-20-PAVDAJ-09A-02D	sniffles.BND	chr12	BND	1
TARGET-20-PAVDAJ-09A-02D	pbsv.INV	chr12	INV	3
TARGET-20-PAVDAJ-09A-02D	sniffles.INV	chr12	INV	1
TARGET-20-PAVDAJ-09A-02D	pbsv.INS	chr13	INS	204
TARGET-20-PAVDAJ-09A-02D	longreadsv.INS	chr13	INS	423
TARGET-20-PAVDAJ-09A-02D	sniffles.INS	chr13	INS	388
TARGET-20-PAVDAJ-09A-02D	longreadsv.DEL	chr13	DEL	301
TARGET-20-PAVDAJ-09A-02D	pbsv.DEL	chr13	DEL	232
TARGET-20-PAVDAJ-09A-02D	sniffles.DEL	chr13	DEL	298
TARGET-20-PAVDAJ-09A-02D	sniffles.INS	chr14	INS	272
TARGET-20-PAVDAJ-09A-02D	pbsv.INS	chr14	INS	140
TARGET-20-PAVDAJ-09A-02D	longreadsv.INS	chr14	INS	280
TARGET-20-PAVDAJ-09A-02D	pbsv.DEL	chr14	DEL	182
TARGET-20-PAVDAJ-09A-02D	sniffles.DEL	chr14	DEL	221
TARGET-20-PAVDAJ-09A-02D	longreadsv.DEL	chr14	DEL	208
TARGET-20-PAVDAJ-09A-02D	sniffles.BND	chr14	BND	1
TARGET-20-PAVDAJ-09A-02D	pbsv.INV	chr14	INV	1
TARGET-20-PAVDAJ-09A-02D	sniffles.INV	chr14	INV	1
TARGET-20-PAVDAJ-09A-02D	longreadsv.INS	chr15	INS	276
TARGET-20-PAVDAJ-09A-02D	pbsv.INS	chr15	INS	180
TARGET-20-PAVDAJ-09A-02D	sniffles.INS	chr15	INS	272
TARGET-20-PAVDAJ-09A-02D	sniffles.DEL	chr15	DEL	214
TARGET-20-PAVDAJ-09A-02D	pbsv.DEL	chr15	DEL	179
TARGET-20-PAVDAJ-09A-02D	longreadsv.DEL	chr15	DEL	192
TARGET-20-PAVDAJ-09A-02D	pbsv.INS	chr16	INS	173
TARGET-20-PAVDAJ-09A-02D	sniffles.INS	chr16	INS	331
TARGET-20-PAVDAJ-09A-02D	longreadsv.INS	chr16	INS	386
TARGET-20-PAVDAJ-09A-02D	pbsv.DEL	chr16	DEL	269
TARGET-20-PAVDAJ-09A-02D	sniffles.DEL	chr16	DEL	328
TARGET-20-PAVDAJ-09A-02D	longreadsv.DEL	chr16	DEL	298
TARGET-20-PAVDAJ-09A-02D	pbsv.INV	chr16	INV	3
TARGET-20-PAVDAJ-09A-02D	sniffles.INV	chr16	INV	3
TARGET-20-PAVDAJ-09A-02D	pbsv.INS	chr17	INS	196
TARGET-20-PAVDAJ-09A-02D	longreadsv.INS	chr17	INS	382
TARGET-20-PAVDAJ-09A-02D	sniffles.INS	chr17	INS	352
TARGET-20-PAVDAJ-09A-02D	longreadsv.DEL	chr17	DEL	272
TARGET-20-PAVDAJ-09A-02D	pbsv.DEL	chr17	DEL	236
TARGET-20-PAVDAJ-09A-02D	sniffles.DEL	chr17	DEL	280
TARGET-20-PAVDAJ-09A-02D	sniffles.BND	chr17	BND	1
TARGET-20-PAVDAJ-09A-02D	pbsv.INV	chr17	INV	1
TARGET-20-PAVDAJ-09A-02D	sniffles.INV	chr17	INV	1
TARGET-20-PAVDAJ-09A-02D	sniffles.INS	chr18	INS	292
TARGET-20-PAVDAJ-09A-02D	longreadsv.INS	chr18	INS	298
TARGET-20-PAVDAJ-09A-02D	pbsv.INS	chr18	INS	154
TARGET-20-PAVDAJ-09A-02D	pbsv.DEL	chr18	DEL	224
TARGET-20-PAVDAJ-09A-02D	sniffles.DEL	chr18	DEL	268
TARGET-20-PAVDAJ-09A-02D	longreadsv.DEL	chr18	DEL	290
TARGET-20-PAVDAJ-09A-02D	sniffles.DUP	chr18	DUP	1
TARGET-20-PAVDAJ-09A-02D	pbsv.INV	chr18	INV	1
TARGET-20-PAVDAJ-09A-02D	sniffles.INV	chr18	INV	1
TARGET-20-PAVDAJ-09A-02D	sniffles.INS	chr19	INS	349
TARGET-20-PAVDAJ-09A-02D	pbsv.INS	chr19	INS	190
TARGET-20-PAVDAJ-09A-02D	longreadsv.INS	chr19	INS	367
TARGET-20-PAVDAJ-09A-02D	pbsv.DEL	chr19	DEL	223
TARGET-20-PAVDAJ-09A-02D	longreadsv.DEL	chr19	DEL	280
TARGET-20-PAVDAJ-09A-02D	sniffles.DEL	chr19	DEL	297
TARGET-20-PAVDAJ-09A-02D	pbsv.DUP	chr19	DUP	1
TARGET-20-PAVDAJ-09A-02D	sniffles.DUP	chr19	DUP	1
